Status Code,Action Code,Source,Category,Sub-Category,Denial Reason,CARC Code,RARC Code
ASC Quality Reporting Program,Client Assistance Required,Analyse|Web|Call,Assistance Needed From NSHA,APG Rate Code Missing,Payment adjusted based on the Ambulatory Surgical Center (ASC) Quality Reporting Program.,96,N381
Covered By Another Payer/COB,No Other Payer Found | Recommend Balance Transfer to Patient,Analyse|Web|Call,Assistance Needed From NSHA,Eligibility / Coverage,Claim/service not covered by this payer/contractor. You must send the claim/service to the correct payer/contractor,109,N193
Dependent Not Eligible,No Other Payer Found | Recommend Balance Transfer to Patient,Analyse|Web|Call,Assistance Needed From NSHA,Eligibility / Coverage,Non-covered charge(s).,32,N52
Dependent Not Eligible,Verified | Submitted to Correct Insurance,Analyse|Web|Call,Assistance Needed From NSHA,Eligibility / Coverage,Non-covered charge(s).,32,N52
Duplicate Claim,Client Assistance Required,Analyse|Web|Call,Assistance Needed From NSHA,To Fix split claim,Exact duplicate claim/service,18,N389
Exceeded Units/Benefits Exhaustion,Client Assistance Required,Analyse|Web|Call,Assistance Needed From NSHA,Exceeded Units/Visits,Benefit maximum for this time period or occurrence has been reached,119,N362
Exceeded Units/Benefits Exhaustion,Client Assistance Required,Analyse|Web|Call,Assistance Needed From NSHA,Exceeded Units/Visits,Payment adjusted because the payer deems the information submitted does not support this many/frequency of services,151,N317
Duplicate Claim,Claim Already Paid | Waiting Payment,Analyse|Web|Call,Jorie Resolved,Duplicate Billing,Exact duplicate claim/service,18,N389
Expenses Incurred After Coverage Terminated,No Other Payer Found | Recommend Balance Transfer to Patient,Analyse|Web|Call,Assistance Needed From NSHA,Eligibility / Coverage,Expenses incurred after coverage terminated,27,N30
Expenses Incurred Prior to Coverage,No Other Payer Found | Recommend Balance Transfer to Patient,Analyse|Web|Call,Assistance Needed From NSHA,Eligibility / Coverage,Expenses incurred prior to coverage.,26,N30
Invalid Authorization,Client Assistance Required,Analyse|Web|Call,Assistance Needed From NSHA,Authorization/Referral,Precertification/authorization/notification/pre-treatment absent.,197,M62
Invalid Authorization,Client Assistance Required,Analyse|Web|Call,Assistance Needed From NSHA,Authorization/Referral,Services denied at the time authorization/pre-certification was requested.,39,M62
Missing Plan Information for Other Insurance,No Other Payer Found | Recommend Balance Transfer to Patient,Analyse|Web|Call,Assistance Needed From NSHA,Eligibility / Coverage,Information requested from the patient/insured/responsible party was not provided or was insufficient/incomplete,227,MA92
Missing/incomplete/Invalid Type of Bill,Client Assistance Required,Analyse|Web|Call,Assistance Needed From NSHA,Incorrect/Invalid/Missing POS|TOB,Payment is denied when performed/billed by this type of provider in this type of facility,171,MA30
Missing/incomplete/Invalid Type of Bill,Corrected Claim Resubmitted,Analyse|Web|Call,Assistance Needed From NSHA,Incorrect/Invalid/Missing POS|TOB,Payment is denied when performed/billed by this type of provider in this type of facility,171,MA30
New Patient Qualifications were not met,Client Assistance Required,Analyse|Web|Call,Assistance Needed From NSHA,Procedure Related,Claim/service lacks information or has submission/billing error(s).,16,M51
No Denial | Claim Paid,No Other Payer Found | Recommend Balance Transfer to Patient,Analyse|Web|Call,Assistance Needed From NSHA,No Secondary Active - Bal Transfer to Patient,Services not provided by network/primary care providers.,242,N408
No Denial | Claim Paid,Payment Already Posted In CPSI | Ignored,Analyse|Web|Call,Assistance Needed From NSHA,Paid,Payment adjusted because the payer deems the information submitted does not support this many/frequency of services,151,N317
Non-Covered Service Under Patient,No Other Payer Found | Recommend Balance Transfer to Patient,Analyse|Web|Call,Assistance Needed From NSHA,Non-Covered Service,This drug/service/supply is not included in the fee schedule or contracted/legislated fee arrangement.,96,N448
Non-Covered Service Under Provider,Client Assistance Required,Analyse|Web|Call,Assistance Needed From NSHA,Non-Covered Service,This service is not covered when performed by this provider.,96,MA56
Occurrence Code/Date Related,Client Assistance Required,Analyse|Web|Call,Assistance Needed From NSHA,Occurrence Code/Date Related,Claim/service lacks information or has submission/billing error(s) which is needed for adjudication,16,MA100
Patient Cannot be Identified as Our Insured,Member ID Not Found |Recommend Balance Transfer to Patient,Analyse|Web|Call,Assistance Needed From NSHA,Eligibility / Coverage,Claim/service lacks information or has submission/billing error(s) which is needed for adjudication,16,N382
